Sarki,Sanatci,Album,Tur
Yankı,Simge,Yankı,Turkish Pop
Reptilia,The Strokes,Room On Fire,Indie Rock
İşte Öyle Bir Şey,Erol Evgin,İşte Öyle Bi̇r Şey,Turkish Pop
I Kissed A Girl,Katy Perry,I Kissed A Girl (3-Track),Pop Rock
Anlıyorsun Değil Mi,Barış Manço,Mançoloji 2,Pop
Sharks,Imagine Dragons,Sharks,Pop Rock
Mayın Tarlası,Şebnem Ferah,Kelimeler Yetse,Turkish Rock
Bu Aşk Fazla Sana,Şebnem Ferah,Kadın,Turkish Rock
Bu Ne Dünya Kardeşim,Yeliz,Bu Ne Dünya Kardeşim,Turkish Pop
Hele Bi Gel,Pinhani,İnandığın Masallar,Turkish Rock
