Sarki,Sanatci,Album,Tur
Sopa (Clup Remix), Hande Yener, Hande'ye Neler Oluyor,Turkish Pop
Her Akşam "Sarhoş", Dario Moreno, Bak Bir Varmış Bir Yokmuş,Turkish Pop
International Love (feat. Chris Brown),Pitbull,Greatest Hits,Dans/Elektronik
Nazar,Demet Akalın,Rakipsiz,Turkish Pop
9mm,Memphis Cult & Groove Dealers ve SPLYXER,Memphis Cult Vol. 6,Hip-Hop/Rap
Pırlanta,Demet Akalın,Pırlanta,Turkish Pop
Aşkın Olayım,Simge,Ben Bazen,Turkish Pop
Son Arzum,Nilüfer,Selam Söyle,Turkish Pop
Ben Şarkımı Söylerken,Şebnem Ferah,Kelimeler Yetse,Turkish Rock
Rät,Penelope Scott,Public Void,Alternative
California Gurls (feat. Snoop Dogg),Katy Perry,Teenage Dream,Pop
Hell’s Greatest Dad,Andrew Underberg- Sam Haft- Jeremy Jordan- Amir Talai- Erika Henningsen ve Kimiko Glenn,Hazbin Hotel (Original Soundtrack),Electro Swing
Haydi Gel İçelim,Yüksek Sadakat,Katil & Maktül,Turkish Rock
Galvanize,Şehinşah ve Cotard,Galvanize,Hip-Hop/Rap
Bana Yalan Söylediler,Semiramis Pekkan,Bana Yalan Söylediler / Unuttu Unuttu,Turkish Pop
Aşk Eski Bir Yalan,Kamuran Akkor,Aşk Eski Bir Yalan,Turkish Pop
Hayloft,Mother Mother,O My Heart,Indie Rock
Senden Başka,Füsun Önal,Ah Nerede,Turkish Pop
Seni Severdim (feat. Yaşar Günaçgün),Yıldız Usmonova,Dünya,Turkish Pop
Nilüfer,Müslüm Gürses,Aşk Tesadüfleri Sever (Mucize ve Buluşma),Arabesk
Yankı,Simge,Yankı,Turkish Pop
Reptilia,The Strokes,Room On Fire,Indie Rock
İşte Öyle Bir Şey,Erol Evgin,İşte Öyle Bi̇r Şey,Turkish Pop
I Kissed A Girl,Katy Perry,I Kissed A Girl (3-Track),Pop/Rock
Anlıyorsun Değil Mi,Barış Manço,Mançoloji 2,Pop
Sharks,Imagine Dragons,Sharks,Pop Rock
Mayın Tarlası,Şebnem Ferah,Kelimeler Yetse,Turkish Rock
Bu Aşk Fazla Sana,Şebnem Ferah,Kadın,Turkish Rock
Bu Ne Dünya Kardeşim,Yeliz,Bu Ne Dünya Kardeşim,Turkish Pop
Hele Bi Gel,Pinhani,İnandığın Masallar,Turkish Rock
Sahici,Bengü,İkinci Hal,Turkish Pop
Smile Like You Mean It (Alastor's Offer),PARANOiD DJ,Smile Like You Mean It (Alastor's Offer),Jazz
Alastor's Game,The Living Tombstone,Alastor's Game,Pop/Rock
Kor,Emir Can Igrek,Kor,Pop
KUŞ OLDUM UÇTUM (feat. Naz Eda),BARO,KUŞ OLDUM UÇTUM,Hip-Hop/Rap
GMFU (w/ 6arelyhuman),Odetari ve 6arelyhuman,GMFU (w/ 6arelyhuman),Dans/Elektronik
Dünyanın Sonuna Doğmuşum,maNga,Şehr-i Hüzün,Metal
Poker Face,Lady Gaga,The Fame,Pop
Motivasyon,Ben Fero,ORMAN KANUNLARI,Turkish Rap
Büklüm Büklüm,Tülay Özer,Bir Zamanlar- Vol. 3,Arabesk
Sonne,Rammstein,Mutter,Metal
I Was Made For Lovin' You,Kiss,Dynasty,Hard Rock
505,Arctic Monkeys,Favourite Worst Nightmare,Rock
Tek Başına,Ayten Alpman,Ayten Alpman Klasikleri (Türk Pop Tarihi),Turkish Pop
Bu Kalp Seni Unutur mu (feat. Sibel Sezal),Fikret Kizilok,Yana Yana,Turkish Folk
Unutama Beni,Esmeray,Unutama Beni,Turkish Pop
Sıfır Tolerans,Hadise,Şampiyon,Turkish Pop
Seni Kendime Sakladım,Duman,Seni Kendime Sakladım,Turkish Rock
Anlamazdın,Ayla Dikmen,Klasikler (Orijinal Kayıtlar),Turkish Pop
Farben, Orange Sector, Farben,Dans/Elektronik
